Прайс лист,,,,
Все цены указаны за элемент без учета дополнительных(скрытых) работ,,,,
ПОКРАСКА,,,,
,"1 класс
(малые и средние авто)","2 класс(
бизнесс класс и кроссоверы)","3 класс
(представительские, внедорожники, минивены, микроавтобусы)",
Капот,22000,25000,28000,Капот
Дверь,18000,20000,22000,Дверь
Крыло переднее,18000,20000,22000,Крыло переднее
Крыло заднее,18000,20000,22000,Крыло заднее
Крышка багажника,22000,25000,28000,Крышка багажника
Крыша,22000,25000,28000,Крыша
Порог,14000,15000,16000,Порог
Бампер,18000,20000,22000,Бампер
,,,,
АНТИКОР,,,,
,"1 класс
(малые и средние авто)","2 класс
(бизнесс класс и кроссоверы)","3 класс
(представительские, внедорожники, минивены, микроавтобусы)",
"Комплекс(арки, пороги, днище, скрытые полости) НЕ РАМНЫЕ АВТО без пробега",25000,30000,35000,"Комплекс(арки, пороги, днище, скрытые полости) НЕ РАМНЫЕ АВТО без пробега"
"Комплекс(арки, пороги, днище, скрытые полости) РАМНЫЕ АВТО без пробега",,,45000,"Комплекс(арки, пороги, днище, скрытые полости) РАМНЫЕ АВТО без пробега"
Комплекс НЕ РАМНЫЕ АВТО с пробегом,30000,35000,40000,Комплекс НЕ РАМНЫЕ АВТО с пробегом
Комплекс РАМНЫЕ АВТО с пробегом,,,50000,Комплекс РАМНЫЕ АВТО с пробегом
,,,,
,,,,
АНТИХРОМ,,,,
Решетка радиатора,от 5000,от 5000,от 5000,Решетка радиатора
Шильдики+буквы,от 3000,от 3000,от 3000,Шильдики+буквы
Антихром боковых оконных молдингов жид.полиуретаном,от 2000,от 2000,от 2000,Антихром боковых оконных молдингов жид.полиуретаном
,,,,
ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,,
Реставрация фар жидким полиуретаном,от 5000,от 5000,от 5000,Реставрация фар жидким полиуретаном
Защита порога жидким полиуретаном,от 6000,от 6000,от 6000,Защита порога жидким полиуретаном
Ремонт сколов и царапин,от 1000,от 1000,от 1000,Ремонт сколов и царапин
Вклейка стекол,от 5000,от 5000,от 5000,Вклейка стекол
Удаление вмятин PDR,от 1000,от 1000,от 1000,Удаление вмятин PDR
,,,,
ДОПОЛНИТЕЛЬНЫЕ РАБОТЫ,,,,
"Пайка пластиковых элементов (бампер, и т.д.)",от 3000,от 3000,от 3000,"Пайка пластиковых элементов (бампер, и т.д.)"
Арматурные работы (снятие/устоновка деталей),от 1500,от 1500,от 1500,Арматурные работы (снятие/устоновка деталей)
Рехтовка (востановление геометрии детали),от 1000,от 1000,от 1000,Рехтовка (востановление геометрии детали)
Удаление ржавчин (очистка металла от оксида железа),от 2000,от 2000,от 2000,Удаление ржавчин (очистка металла от оксида железа)
,,,,
Локальный ремонт,от 6500,от 6500,от 6500,Локальный ремонт
