,,,,
,ТЕКУЩИЙ,,,
Прайс лист,"1 класс
 (Малые и средние авто)","2 класс
 (Бизнес класс и кроссоверы)","3 класс
 (Представительские, внедорожники, минивены и микроавтобусы)",
БРОНИРОВАНИЕ КУЗОВА,,,,
Полная оклейка кузова,"200 000,000","230 000,000","260 000,000",Полная оклейка кузова
Оклейка зоны риска - Люкс,"80 800,000","92 000,000","101 800,000",Оклейка зоны риска - Люкс
Оклейка зоны риска - Стандарт,"50 000,000","56 000,000","62 000,000",Оклейка зоны риска - Стандарт
Оклейка зоны риска - Городской,"25 000,000","27 000,000","29 000,000",Оклейка зоны риска - Городской
Полное бронировение капота,"20 000,000","22 000,000","24 000,000",Полное бронировение капота
Полоса на капот 50 см,"10 000,000","11 000,000","12 000,000",Полоса на капот 50 см
Бронирование фары головной оптики - 2 шт.,"5 000,000","5 000,000","5 000,000",Бронирование фары головной оптики - 2 шт.
Бронирование фары головной оптики(тонированный полиуретан/фотохром) - 2 шт.,"6 000,000","6 000,000","6 000,000",Бронирование фары головной оптики(тонированный полиуретан/фотохром) - 2 шт.
Бронирование противотуманные фары - 2шт.,"1 000,000","1 000,000","1 000,000",Бронирование противотуманные фары - 2шт.
Оклейка стойки лобового стекла - 2 шт.,"5 000,000","5 000,000","5 000,000",Оклейка стойки лобового стекла - 2 шт.
Полоса на крышу 20 см.,"4 000,000","4 000,000","4 000,000",Полоса на крышу 20 см.
Оклейка зоны под ручки - 4 шт.,"2 500,000","2 500,000","2 500,000",Оклейка зоны под ручки - 4 шт.
Полоса погрузочной зоны заднего бампера,"3 000,000","3 000,000","3 000,000",Полоса погрузочной зоны заднего бампера
Бампер передний/задний - 1 шт,"22 000,000","25 000,000","27 000,000",Бампер передний/задний - 1 шт
Крыло переднее - 1 шт,"10 000,000","12 000,000","14 000,000",Крыло переднее - 1 шт
Крыло заднее - 1 шт,"14 000,000","16 000,000","18 000,000",Крыло заднее - 1 шт
Оклейка двери - 4 шт,"48 000,000","54 000,000","60 000,000",Оклейка двери - 4 шт
Оклейка крыши полиуретановая пленка,"22 000,000","26 000,000","30 000,000",Оклейка крыши полиуретановая пленка
Оклейка крыши (черный супер-глянец гибрид),"15 000,000","17 000,000","20 000,000",Оклейка крыши (черный супер-глянец гибрид)
Оклейка крышки багажника,"12 000,000","15 000,000","18 000,000",Оклейка крышки багажника
Оклейка наружного порога - 1 шт,"6 000,000","8 000,000","10 000,000",Оклейка наружного порога - 1 шт
Оклейка внутреннего порога - 1 шт,"1 200,000","1 500,000","1 700,000",Оклейка внутреннего порога - 1 шт
Оклейка зеркала заднего вида - 2 шт,"4 000,000","5 000,000","6 000,000",Оклейка зеркала заднего вида - 2 шт
Оклейка акриловых стоек дверей - 1 шт,"1 000,000","1 000,000","1 000,000",Оклейка акриловых стоек дверей - 1 шт
Оклейка нижний молдинг двери - 1 шт,"3 000,000","4 000,000","4 000,000",Оклейка нижний молдинг двери - 1 шт
Оклейка спойлера,"6 000,000","7 000,000","8 000,000",Оклейка спойлера
Оклейка расширителя арки - 1 шт,"4 000,000","5 000,000","6 000,000",Оклейка расширителя арки - 1 шт
,,,,
Оклейка задних фонарей-2 шт,"4 000,000","6 000,000","8 000,000",Оклейка задних фонарей-2 шт
Оклейка задних фонарей(тонированный полиуретан)-2 шт,"5 000,000","7 000,000","9 000,000",Оклейка задних фонарей(тонированный полиуретан)-2 шт
Бронирорвание панорамы(атермальный полиуретан)-люк,"6 000,000","7 000,000","8 000,000",Бронирорвание панорамы(атермальный полиуретан)-люк
"Бронирорвание панорамы(атермальный полиуретан)-панорама 1*1,5","15 000,000","16 000,000","18 000,000","Бронирорвание панорамы(атермальный полиуретан)-панорама 1*1,5"
Бронирорвание панорамы(атермальный полиуретан)-панорама вся крыша,"20 000,000","26 000,000","30 000,000",Бронирорвание панорамы(атермальный полиуретан)-панорама вся крыша
,,,,
ШУМОИЗОЛЯЦИЯ,,,,
"Шумоизоляция комплекс ""Люкс""(пол салона,пол багажника, крыша, арки, двери)",101 650,114 950,131 100,"Шумоизоляция комплекс ""Люкс""(пол салона,пол багажника, крыша, арки, двери)"
"Шумоизоляция комплекс ""Стандарт"" (двери 4 шт, арки 4 шт)","47 500,000","51 300,000","57 000,000","Шумоизоляция комплекс ""Стандарт"" (двери 4 шт, арки 4 шт)"
